Male,Female
4.1950195824011765,0.9283603389056353
0.0,0.0
0.5704290403544034,0.06024698708254605
7.216032458951947,2.219651254875717
4.18553231522269,0.5700881804557751
28.35656104175875,3.4940696058636993
0.2999567107928742,0.11648887035620996
9.698202645754533,0.5584989439024141
8.408189954404307,0.9300078284156719
2.4191963205310145,0.38190511142141986
5.4029702531566475,0.5110910130015327
7.34848493456058,0.8808387880385444
9.57214129324518,0.6571778845552971
0.9141578431294574,0.10470079886198243
0.0,0.0
